@relation jsbach-1

@attribute seqnum STRING
@attribute t NUMERIC
@attribute C {YES,NO}
@attribute C# {YES,NO}
@attribute D  {YES,NO}
@attribute D# {YES,NO}
@attribute E  {YES,NO}
@attribute F  {YES,NO}
@attribute F#  {YES,NO}
@attribute G {YES,NO}
@attribute G#  {YES,NO}
@attribute A  {YES,NO}
@attribute A#  {YES,NO}
@attribute B  {YES,NO}
@attribute Meter NUMERIC
@attribute Chord {BbM , D_M6, A_m4, B_M , Bbm, B_m7, F#M , C#M7, EbM7, B_M4, A_M4, C#m7, G_M7, D_m7, F#m7, F_d, B_m , D_m6, G_m, A_d, D#d, G_m7, A_m6, C_M7, C_M4, A#d, G#d7, E_M4, E_M7, D_m, E_d, G_M , F_M7, A_m, E_M , C_m, F#M, D_M7, C_M , B_m6, C#m, D#d , EbM, F_M6, AbM, A#d7, Bbm6, C_M, G_M6, A_M , A_M, G_M4, F_m7, C#d7, E_m6, A_M6, F_m6, C_d6, B_d7, E_M, C#d, A_M7, G_M, F#m, C_m7, D_M4, E_m, D_d7, F#M4, F#d, F#M7, DbM, C_m6, B_M7, BbM, F_m, E_m7, G_m6, A_m7, C_d7, F_M4, G#d, C#M, F_M, D_M}

@data
000106b_,   1,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO, 3, F_M
000106b_,   2,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO, 5, C_M
000106b_,   3,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO, 2, C_M
000106b_,   4,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO, 3, F_M
000106b_,   5,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO, 2, F_M
000106b_,   6, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, 4, D_m
000106b_,   7, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, 2, D_m
000106b_,   8,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO, 3, F_M
000106b_,   9,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO, 2, F_M
000106b_,  10, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, 5, BbM
000106b_,  11, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, 1, BbM
000106b_,  12,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO, 2, BbM
000106b_,  13,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO, 1, BbM
